
Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 11:04:41 2025
Timers Off: Fri Jun  6 11:32:54 2025

Wall Time:     1693.28 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
HF: Form G                          :      0.000u      0.000s      0.000w     18 calls
| JK: D                             :      0.000u      0.000s      0.000w     18 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     18 calls
| JK: JK                            :      0.000u      0.000s      0.000w     18 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     18 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     18 calls
HF: Form F                          :      0.000u      0.000s      0.001w     18 calls
HF: Form D                          :      0.000u      0.000s      0.000w     18 calls
HF: DIIS                            :      0.050u      0.000s      0.012w     12 calls
HF: Form C                          :      0.000u      0.000s      0.001w     12 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      6 calls
ccenergy                            :      0.033u      0.167s      0.112w      2 calls
| F build                           :      0.000u      0.000s      0.001w     12 calls
| Wmbej build                       :      0.000u      0.000s      0.001w     12 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     12 calls
| | F->Wmbej                        :      0.000u      0.000s      0.000w     12 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     12 calls
| | X->Wmbej                        :      0.000u      0.000s      0.000w     12 calls
| Z                                 :      0.000u      0.000s      0.000w     12 calls
| T2 Build                          :      0.000u      0.000s      0.002w     12 calls
| | BT2                             :      0.000u      0.000s      0.000w     12 calls
| | | ABCD:new                      :      0.000u      0.000s      0.000w     12 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     12 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     12 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.000w     12 calls
| | FT2                             :      0.000u      0.000s      0.000w     12 calls
| | WmbejT2                         :      0.000u      0.000s      0.000w     12 calls
| | CT2                             :      0.000u      0.000s      0.001w     12 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 12:29:09 2025
Timers Off: Fri Jun  6 13:07:31 2025

Wall Time:     2302.17 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 13:07:28 2025
Timers Off: Fri Jun  6 13:21:55 2025

Wall Time:      866.88 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
DFH: sparsity prep                  :      0.000u      0.000s      0.001w      1 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.005w     85 calls
DFH: initialize()                   :      0.017u      0.000s      0.003w      1 calls
DFH: AO Construction                :      0.000u      0.000s      0.000w      1 calls
DFH: AO-Met. Contraction            :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.050s      0.010w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      6 calls
HF: Guess                           :      0.100u      0.383s      0.114w      6 calls
SAD Guess                           :      0.100u      0.367s      0.111w      6 calls
HF: Form G                          :      0.000u      0.000s      0.002w     53 calls
JK: D                               :      0.000u      0.000s      0.000w     53 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     53 calls
JK: JK                              :      0.000u      0.000s      0.002w     53 calls
DFH: compute_JK()                   :      0.000u      0.000s      0.001w      8 calls
DFH: Grabbing AOs                   :      0.000u      0.000s      0.000w      8 calls
DFH: compute_J                      :      0.000u      0.000s      0.001w      8 calls
DFH: compute_K                      :      0.000u      0.000s      0.000w      8 calls
PK computes JK                      :      0.000u      0.000s      0.000w     45 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     53 calls
HF: Form F                          :      0.000u      0.000s      0.002w     53 calls
HF: Form D                          :      0.000u      0.000s      0.000w     53 calls
HF: DIIS                            :      0.117u      0.033s      0.048w     47 calls
HF: Form C                          :      0.000u      0.000s      0.004w     47 calls
Total PK formation time             :      0.000u      0.017s      0.011w      5 calls
ccenergy                            :      0.033u      0.233s      0.176w      2 calls
F build                             :      0.000u      0.017s      0.002w     20 calls
Wmbej build                         :      0.000u      0.000s      0.002w     20 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     20 calls
F->Wmbej                            :      0.000u      0.000s      0.000w     20 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     20 calls
X->Wmbej                            :      0.000u      0.000s      0.000w     20 calls
Z                                   :      0.000u      0.000s      0.000w     20 calls
T2 Build                            :      0.000u      0.000s      0.004w     20 calls
BT2                                 :      0.000u      0.000s      0.001w     20 calls
ABCD:new                            :      0.000u      0.000s      0.001w     20 calls
ABCD:S                              :      0.000u      0.000s      0.000w     20 calls
ABCD:A                              :      0.000u      0.000s      0.000w     20 calls
ABCD:axpy                           :      0.000u      0.000s      0.001w     20 calls
FT2                                 :      0.000u      0.000s      0.000w     20 calls
WmbejT2                             :      0.000u      0.000s      0.001w     20 calls
CT2                                 :      0.000u      0.000s      0.001w     20 calls

--------------------------------------------------------------------------------------
DFH: sparsity prep                  :      0.000u      0.000s      0.001w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.000w      1 calls
DFH: initialize()                   :      0.017u      0.000s      0.003w      1 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.001w     13 calls
| DFH: AO Construction              :      0.000u      0.000s      0.000w      1 calls
| DFH: AO-Met. Contraction          :      0.000u      0.000s      0.000w      1 calls
HF: Form core H                     :      0.000u      0.050s      0.010w      6 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      6 calls
HF: Guess                           :      0.100u      0.383s      0.114w      6 calls
| SAD Guess                         :      0.100u      0.367s      0.111w      6 calls
HF: Form G                          :      0.000u      0.000s      0.002w     53 calls
| JK: D                             :      0.000u      0.000s      0.000w     53 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     53 calls
| JK: JK                            :      0.000u      0.000s      0.002w     53 calls
| | DFH: compute_JK()               :      0.000u      0.000s      0.001w      8 calls
| | | DFH: Grabbing AOs             :      0.000u      0.000s      0.000w      8 calls
| | | DFH: compute_J                :      0.000u      0.000s      0.001w      8 calls
| | | DFH: compute_K                :      0.000u      0.000s      0.000w      8 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     45 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     53 calls
HF: Form F                          :      0.000u      0.000s      0.002w     53 calls
HF: Form D                          :      0.000u      0.000s      0.000w     53 calls
HF: DIIS                            :      0.117u      0.033s      0.048w     47 calls
HF: Form C                          :      0.000u      0.000s      0.004w     47 calls
Total PK formation time             :      0.000u      0.017s      0.011w      5 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.004w     65 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      6 calls
ccenergy                            :      0.033u      0.233s      0.176w      2 calls
| F build                           :      0.000u      0.017s      0.002w     20 calls
| Wmbej build                       :      0.000u      0.000s      0.002w     20 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     20 calls
| | F->Wmbej                        :      0.000u      0.000s      0.000w     20 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     20 calls
| | X->Wmbej                        :      0.000u      0.000s      0.000w     20 calls
| Z                                 :      0.000u      0.000s      0.000w     20 calls
| T2 Build                          :      0.000u      0.000s      0.004w     20 calls
| | BT2                             :      0.000u      0.000s      0.001w     20 calls
| | | ABCD:new                      :      0.000u      0.000s      0.001w     20 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     20 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     20 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.001w     20 calls
| | FT2                             :      0.000u      0.000s      0.000w     20 calls
| | WmbejT2                         :      0.000u      0.000s      0.001w     20 calls
| | CT2                             :      0.000u      0.000s      0.001w     20 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 13:21:58 2025
Timers Off: Fri Jun  6 13:22:56 2025

Wall Time:       57.46 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.006w      3 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w     42 calls
HF: Form core H                     :      0.000u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.050u      0.183s      0.057w      3 calls
SAD Guess                           :      0.050u      0.183s      0.055w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     26 calls
JK: D                               :      0.000u      0.000s      0.000w     26 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     26 calls
JK: JK                              :      0.000u      0.000s      0.000w     26 calls
PK computes JK                      :      0.000u      0.000s      0.000w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     26 calls
HF: Form F                          :      0.000u      0.017s      0.001w     26 calls
HF: Form D                          :      0.000u      0.000s      0.000w     26 calls
HF: DIIS                            :      0.050u      0.017s      0.024w     23 calls
HF: Form C                          :      0.000u      0.000s      0.002w     23 calls
ccenergy                            :      0.017u      0.117s      0.090w      1 calls
F build                             :      0.000u      0.000s      0.001w     10 calls
Wmbej build                         :      0.000u      0.000s      0.001w     10 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
F->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
X->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
Z                                   :      0.000u      0.000s      0.000w     10 calls
T2 Build                            :      0.000u      0.017s      0.002w     10 calls
BT2                                 :      0.000u      0.000s      0.001w     10 calls
ABCD:new                            :      0.000u      0.000s      0.001w     10 calls
ABCD:S                              :      0.000u      0.000s      0.000w     10 calls
ABCD:A                              :      0.000u      0.000s      0.000w     10 calls
ABCD:axpy                           :      0.000u      0.000s      0.000w     10 calls
FT2                                 :      0.000u      0.000s      0.000w     10 calls
WmbejT2                             :      0.000u      0.000s      0.000w     10 calls
CT2                                 :      0.000u      0.017s      0.001w     10 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.000s      0.006w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w     39 calls
HF: Form core H                     :      0.000u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.050u      0.183s      0.057w      3 calls
| SAD Guess                         :      0.050u      0.183s      0.055w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     26 calls
| JK: D                             :      0.000u      0.000s      0.000w     26 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     26 calls
| JK: JK                            :      0.000u      0.000s      0.000w     26 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     26 calls
HF: Form F                          :      0.000u      0.017s      0.001w     26 calls
HF: Form D                          :      0.000u      0.000s      0.000w     26 calls
HF: DIIS                            :      0.050u      0.017s      0.024w     23 calls
HF: Form C                          :      0.000u      0.000s      0.002w     23 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
ccenergy                            :      0.017u      0.117s      0.090w      1 calls
| F build                           :      0.000u      0.000s      0.001w     10 calls
| Wmbej build                       :      0.000u      0.000s      0.001w     10 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | F->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | X->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| Z                                 :      0.000u      0.000s      0.000w     10 calls
| T2 Build                          :      0.000u      0.017s      0.002w     10 calls
| | BT2                             :      0.000u      0.000s      0.001w     10 calls
| | | ABCD:new                      :      0.000u      0.000s      0.001w     10 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     10 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     10 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.000w     10 calls
| | FT2                             :      0.000u      0.000s      0.000w     10 calls
| | WmbejT2                         :      0.000u      0.000s      0.000w     10 calls
| | CT2                             :      0.000u      0.017s      0.001w     10 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 13:07:35 2025
Timers Off: Fri Jun  6 13:23:29 2025

Wall Time:      953.64 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 13:23:00 2025
Timers Off: Fri Jun  6 13:23:52 2025

Wall Time:       52.02 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.017u      0.000s      0.006w      3 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w     42 calls
HF: Form core H                     :      0.000u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.033u      0.183s      0.058w      3 calls
SAD Guess                           :      0.033u      0.183s      0.056w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     26 calls
JK: D                               :      0.000u      0.000s      0.000w     26 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     26 calls
JK: JK                              :      0.000u      0.000s      0.000w     26 calls
PK computes JK                      :      0.000u      0.000s      0.000w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     26 calls
HF: Form F                          :      0.000u      0.017s      0.001w     26 calls
HF: Form D                          :      0.000u      0.000s      0.000w     26 calls
HF: DIIS                            :      0.033u      0.017s      0.024w     23 calls
HF: Form C                          :      0.000u      0.000s      0.002w     23 calls
ccenergy                            :      0.017u      0.117s      0.085w      1 calls
F build                             :      0.000u      0.000s      0.001w     10 calls
Wmbej build                         :      0.000u      0.000s      0.001w     10 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
F->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
X->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
Z                                   :      0.000u      0.000s      0.000w     10 calls
T2 Build                            :      0.000u      0.000s      0.002w     10 calls
BT2                                 :      0.000u      0.000s      0.001w     10 calls
ABCD:new                            :      0.000u      0.000s      0.001w     10 calls
ABCD:S                              :      0.000u      0.000s      0.000w     10 calls
ABCD:A                              :      0.000u      0.000s      0.000w     10 calls
ABCD:axpy                           :      0.000u      0.000s      0.000w     10 calls
FT2                                 :      0.000u      0.000s      0.000w     10 calls
WmbejT2                             :      0.000u      0.000s      0.000w     10 calls
CT2                                 :      0.000u      0.000s      0.001w     10 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.017u      0.000s      0.006w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w     39 calls
HF: Form core H                     :      0.000u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.033u      0.183s      0.058w      3 calls
| SAD Guess                         :      0.033u      0.183s      0.056w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     26 calls
| JK: D                             :      0.000u      0.000s      0.000w     26 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     26 calls
| JK: JK                            :      0.000u      0.000s      0.000w     26 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     26 calls
HF: Form F                          :      0.000u      0.017s      0.001w     26 calls
HF: Form D                          :      0.000u      0.000s      0.000w     26 calls
HF: DIIS                            :      0.033u      0.017s      0.024w     23 calls
HF: Form C                          :      0.000u      0.000s      0.002w     23 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
ccenergy                            :      0.017u      0.117s      0.085w      1 calls
| F build                           :      0.000u      0.000s      0.001w     10 calls
| Wmbej build                       :      0.000u      0.000s      0.001w     10 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | F->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | X->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| Z                                 :      0.000u      0.000s      0.000w     10 calls
| T2 Build                          :      0.000u      0.000s      0.002w     10 calls
| | BT2                             :      0.000u      0.000s      0.001w     10 calls
| | | ABCD:new                      :      0.000u      0.000s      0.001w     10 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     10 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     10 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.000w     10 calls
| | FT2                             :      0.000u      0.000s      0.000w     10 calls
| | WmbejT2                         :      0.000u      0.000s      0.000w     10 calls
| | CT2                             :      0.000u      0.000s      0.001w     10 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 13:23:55 2025
Timers Off: Fri Jun  6 13:25:12 2025

Wall Time:       76.30 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.000u      0.000s      0.005w      3 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.003w     42 calls
HF: Form core H                     :      0.017u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.050u      0.200s      0.056w      3 calls
SAD Guess                           :      0.050u      0.200s      0.055w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     26 calls
JK: D                               :      0.000u      0.000s      0.000w     26 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     26 calls
JK: JK                              :      0.000u      0.000s      0.000w     26 calls
PK computes JK                      :      0.000u      0.000s      0.000w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     26 calls
HF: Form F                          :      0.000u      0.000s      0.001w     26 calls
HF: Form D                          :      0.000u      0.000s      0.000w     26 calls
HF: DIIS                            :      0.050u      0.017s      0.023w     23 calls
HF: Form C                          :      0.000u      0.000s      0.002w     23 calls
ccenergy                            :      0.033u      0.133s      0.086w      1 calls
F build                             :      0.000u      0.017s      0.001w     10 calls
Wmbej build                         :      0.000u      0.000s      0.001w     10 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
F->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
X->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
Z                                   :      0.000u      0.000s      0.000w     10 calls
T2 Build                            :      0.000u      0.000s      0.002w     10 calls
BT2                                 :      0.000u      0.000s      0.001w     10 calls
ABCD:new                            :      0.000u      0.000s      0.001w     10 calls
ABCD:S                              :      0.000u      0.000s      0.000w     10 calls
ABCD:A                              :      0.000u      0.000s      0.000w     10 calls
ABCD:axpy                           :      0.000u      0.000s      0.000w     10 calls
FT2                                 :      0.000u      0.000s      0.000w     10 calls
WmbejT2                             :      0.000u      0.000s      0.000w     10 calls
CT2                                 :      0.000u      0.000s      0.001w     10 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.000u      0.000s      0.005w      3 calls
| Libint2ERI::Libint2ERI            :      0.000u      0.000s      0.003w     39 calls
HF: Form core H                     :      0.017u      0.017s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.050u      0.200s      0.056w      3 calls
| SAD Guess                         :      0.050u      0.200s      0.055w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     26 calls
| JK: D                             :      0.000u      0.000s      0.000w     26 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     26 calls
| JK: JK                            :      0.000u      0.000s      0.000w     26 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     26 calls
HF: Form F                          :      0.000u      0.000s      0.001w     26 calls
HF: Form D                          :      0.000u      0.000s      0.000w     26 calls
HF: DIIS                            :      0.050u      0.017s      0.023w     23 calls
HF: Form C                          :      0.000u      0.000s      0.002w     23 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
ccenergy                            :      0.033u      0.133s      0.086w      1 calls
| F build                           :      0.000u      0.017s      0.001w     10 calls
| Wmbej build                       :      0.000u      0.000s      0.001w     10 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | F->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | X->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| Z                                 :      0.000u      0.000s      0.000w     10 calls
| T2 Build                          :      0.000u      0.000s      0.002w     10 calls
| | BT2                             :      0.000u      0.000s      0.001w     10 calls
| | | ABCD:new                      :      0.000u      0.000s      0.001w     10 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     10 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     10 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.000w     10 calls
| | FT2                             :      0.000u      0.000s      0.000w     10 calls
| | WmbejT2                         :      0.000u      0.000s      0.000w     10 calls
| | CT2                             :      0.000u      0.000s      0.001w     10 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 13:23:32 2025
Timers Off: Fri Jun  6 13:25:15 2025

Wall Time:      102.74 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 13:25:15 2025
Timers Off: Fri Jun  6 14:05:37 2025

Wall Time:     2421.15 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls
Total PK formation time             :      0.017u      0.000s      0.007w      3 calls
Libint2ERI::Libint2ERI              :      0.017u      0.000s      0.003w     42 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.050u      0.200s      0.057w      3 calls
SAD Guess                           :      0.050u      0.200s      0.056w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     26 calls
JK: D                               :      0.000u      0.000s      0.000w     26 calls
JK: USO2AO                          :      0.000u      0.000s      0.000w     26 calls
JK: JK                              :      0.000u      0.000s      0.000w     26 calls
PK computes JK                      :      0.000u      0.000s      0.000w     26 calls
JK: AO2USO                          :      0.000u      0.000s      0.000w     26 calls
HF: Form F                          :      0.000u      0.000s      0.001w     26 calls
HF: Form D                          :      0.000u      0.000s      0.000w     26 calls
HF: DIIS                            :      0.017u      0.000s      0.023w     23 calls
HF: Form C                          :      0.017u      0.000s      0.002w     23 calls
ccenergy                            :      0.033u      0.133s      0.089w      1 calls
F build                             :      0.000u      0.017s      0.001w     10 calls
Wmbej build                         :      0.000u      0.000s      0.001w     10 calls
C->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
F->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
E->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
X->Wmbej                            :      0.000u      0.000s      0.000w     10 calls
Z                                   :      0.000u      0.000s      0.000w     10 calls
T2 Build                            :      0.000u      0.000s      0.002w     10 calls
BT2                                 :      0.000u      0.000s      0.001w     10 calls
ABCD:new                            :      0.000u      0.000s      0.001w     10 calls
ABCD:S                              :      0.000u      0.000s      0.000w     10 calls
ABCD:A                              :      0.000u      0.000s      0.000w     10 calls
ABCD:axpy                           :      0.000u      0.000s      0.000w     10 calls
FT2                                 :      0.000u      0.000s      0.000w     10 calls
WmbejT2                             :      0.000u      0.000s      0.000w     10 calls
CT2                                 :      0.000u      0.000s      0.001w     10 calls

--------------------------------------------------------------------------------------
Total PK formation time             :      0.017u      0.000s      0.007w      3 calls
| Libint2ERI::Libint2ERI            :      0.017u      0.000s      0.002w     39 calls
HF: Form core H                     :      0.017u      0.000s      0.005w      3 calls
HF: Form S/X                        :      0.000u      0.000s      0.000w      3 calls
HF: Guess                           :      0.050u      0.200s      0.057w      3 calls
| SAD Guess                         :      0.050u      0.200s      0.056w      3 calls
HF: Form G                          :      0.000u      0.000s      0.000w     26 calls
| JK: D                             :      0.000u      0.000s      0.000w     26 calls
| JK: USO2AO                        :      0.000u      0.000s      0.000w     26 calls
| JK: JK                            :      0.000u      0.000s      0.000w     26 calls
| | PK computes JK                  :      0.000u      0.000s      0.000w     26 calls
| JK: AO2USO                        :      0.000u      0.000s      0.000w     26 calls
HF: Form F                          :      0.000u      0.000s      0.001w     26 calls
HF: Form D                          :      0.000u      0.000s      0.000w     26 calls
HF: DIIS                            :      0.017u      0.000s      0.023w     23 calls
HF: Form C                          :      0.017u      0.000s      0.002w     23 calls
Libint2ERI::Libint2ERI              :      0.000u      0.000s      0.000w      3 calls
ccenergy                            :      0.033u      0.133s      0.089w      1 calls
| F build                           :      0.000u      0.017s      0.001w     10 calls
| Wmbej build                       :      0.000u      0.000s      0.001w     10 calls
| | C->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | F->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | E->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| | X->Wmbej                        :      0.000u      0.000s      0.000w     10 calls
| Z                                 :      0.000u      0.000s      0.000w     10 calls
| T2 Build                          :      0.000u      0.000s      0.002w     10 calls
| | BT2                             :      0.000u      0.000s      0.001w     10 calls
| | | ABCD:new                      :      0.000u      0.000s      0.001w     10 calls
| | | | ABCD:S                      :      0.000u      0.000s      0.000w     10 calls
| | | | ABCD:A                      :      0.000u      0.000s      0.000w     10 calls
| | | | ABCD:axpy                   :      0.000u      0.000s      0.000w     10 calls
| | FT2                             :      0.000u      0.000s      0.000w     10 calls
| | WmbejT2                         :      0.000u      0.000s      0.000w     10 calls
| | CT2                             :      0.000u      0.000s      0.001w     10 calls

**************************************************************************************

Host: Griers-MacBook-Pro.local

Timers On : Fri Jun  6 13:25:19 2025
Timers Off: Fri Jun  6 14:05:37 2025

Wall Time:     2417.76 seconds

                                                       Time (seconds)
Module                                       User      System        Wall        Calls

--------------------------------------------------------------------------------------

**************************************************************************************
